"NOMEMUN","numero_nascidos_vivos"
"Gramado Xavier",53
"Ipê",53
"Lagoão",53
"Maximiliano de Almeida",53
"Caraá",52
"Fazenda Vilanova",52
"Progresso",52
"Chuvisca",51
"São João da Urtiga",51
"Aratiba",50
"Erval Grande",50
"Harmonia",50
"Mariana Pimentel",50
"Mata",50
"Muçum",50
"Nova Esperança do Sul",50
"Ibarama",49
"Barracão",48
"Chuí",48
"Maçambará",48
"Três Palmeiras",48
"Caiçara",47
"Chiapetta",47
"Tio Hugo",47
"Caibaté",46
"Fortaleza dos Valos",46
"Muitos Capões",46
"Pareci Novo",46
"São Nicolau",46
"Tavares",46
"Ibirapuitã",45
"Pontão",45
"São Valério do Sul",45
"Erebango",44
"Ibiaçá",44
"Nova Alvorada",44
"Novo Barreiro",44
"Novo Cabrais",44
"Riozinho",44
"Tiradentes do Sul",44
"Alegria",43
"Braga",43
"Campos Borges",43
"David Canabarro",43
"Estrela Velha",43
"Nova Candelária",43
"Nova Palma",43
"Pejuçara",43
"Arambaré",42
"Barra do Guarita",42
"Brochier",42
"Caseiros",42
"Cristal do Sul",42
"Ilópolis",42
"Pinheirinho do Vale",42
"São Pedro da Serra",42
"Capitão",41
"Jaquirana",41
"Mampituba",41
"Putinga",41
"Vila Flores",41
"Vista Alegre",41
"Coxilha",40
"Gaurama",40
"Porto Lucena",40
"Presidente Lucena",40
"São José do Hortêncio",40
"Alecrim",39
"Camargo",39
"Itatiba do Sul",39
"Marcelino Ramos",39
"Quinze de Novembro",39
"Sagrada Família",39
"Viadutos",39
"Vila Maria",39
"Cerrito",38
"Mato Castelhano",38
"Capão do Cipó",37
"Dona Francisca",37
"Mato Leitão",37
"São Valentim",37
"Sede Nova",37
"Água Santa",36
"Barra Funda",36
"Cotiporã",36
"Esperança do Sul",36
"Humaitá",36
"Paim Filho",36
"Passa Sete",36
"Pinhal",36
"Rio dos Índios",36
"Westfalia",36
"Alto Feliz",35
"Doutor Maurício Cardoso",35
"Gramado dos Loureiros",35
"Jaboticaba",35
"Morrinhos do Sul",35
"Tunas",35
"Boa Vista do Incra",34
"Ciríaco",34
"Monte Alegre dos Campos",34
"Áurea",33
"Esmeralda",33
"Herveiras",33
"Itati",33
"Pinhal Grande",33
"Derrubadas",32
"Entre Rios do Sul",32
"Nova Bréscia",32
"Vista Gaúcha",32
"Campestre da Serra",31
"Cerro Grande",31
"Dois Lajeados",31
"Novo Machado",31
"Poço das Antas",31
"Pouso Novo",31
"São José das Missões",31
"Dois Irmãos das Missões",30
"Ernestina",30
"Eugênio de Castro",30
"Jacuizinho",30
"Severiano de Almeida",30
"Três Forquilhas",30
"Victor Graeff",30
