"CODMUNRES","NOMEMUN","ANO_NASC","numero_nascidos_vivos"
430080,"Antônio Prado",2017,125
430080,"Antônio Prado",2018,122
430080,"Antônio Prado",2019,127
430085,"Arambaré",2010,25
430085,"Arambaré",2011,32
430085,"Arambaré",2012,40
430085,"Arambaré",2013,43
430085,"Arambaré",2014,26
430085,"Arambaré",2015,45
430085,"Arambaré",2016,42
430085,"Arambaré",2017,41
430085,"Arambaré",2018,42
430085,"Arambaré",2019,46
430087,"Araricá",2010,71
430087,"Araricá",2011,80
430087,"Araricá",2012,104
430087,"Araricá",2013,82
430087,"Araricá",2014,108
430087,"Araricá",2015,93
430087,"Araricá",2016,95
430087,"Araricá",2017,88
430087,"Araricá",2018,100
430087,"Araricá",2019,89
430090,"Aratiba",2010,49
430090,"Aratiba",2011,71
430090,"Aratiba",2012,50
430090,"Aratiba",2013,57
430090,"Aratiba",2014,54
430090,"Aratiba",2015,60
430090,"Aratiba",2016,46
430090,"Aratiba",2017,51
430090,"Aratiba",2018,50
430090,"Aratiba",2019,67
430100,"Arroio do Meio",2010,215
430100,"Arroio do Meio",2011,197
430100,"Arroio do Meio",2012,218
430100,"Arroio do Meio",2013,217
430100,"Arroio do Meio",2014,273
430100,"Arroio do Meio",2015,228
430100,"Arroio do Meio",2016,257
430100,"Arroio do Meio",2017,234
430100,"Arroio do Meio",2018,268
430100,"Arroio do Meio",2019,271
430105,"Arroio do Sal",2010,88
430105,"Arroio do Sal",2011,89
430105,"Arroio do Sal",2012,74
430105,"Arroio do Sal",2013,96
430105,"Arroio do Sal",2014,103
430105,"Arroio do Sal",2015,127
430105,"Arroio do Sal",2016,113
430105,"Arroio do Sal",2017,118
430105,"Arroio do Sal",2018,131
430105,"Arroio do Sal",2019,100
430107,"Arroio do Padre",2010,27
430107,"Arroio do Padre",2011,20
430107,"Arroio do Padre",2012,21
430107,"Arroio do Padre",2013,19
430107,"Arroio do Padre",2014,16
430107,"Arroio do Padre",2015,28
430107,"Arroio do Padre",2016,19
430107,"Arroio do Padre",2017,21
430107,"Arroio do Padre",2018,20
430107,"Arroio do Padre",2019,20
430110,"Arroio dos Ratos",2010,163
430110,"Arroio dos Ratos",2011,181
430110,"Arroio dos Ratos",2012,147
430110,"Arroio dos Ratos",2013,182
430110,"Arroio dos Ratos",2014,177
430110,"Arroio dos Ratos",2015,183
430110,"Arroio dos Ratos",2016,175
430110,"Arroio dos Ratos",2017,169
430110,"Arroio dos Ratos",2018,164
430110,"Arroio dos Ratos",2019,165
430120,"Arroio do Tigre",2010,154
430120,"Arroio do Tigre",2011,156
430120,"Arroio do Tigre",2012,131
430120,"Arroio do Tigre",2013,108
430120,"Arroio do Tigre",2014,139
430120,"Arroio do Tigre",2015,153
430120,"Arroio do Tigre",2016,138
430120,"Arroio do Tigre",2017,162
430120,"Arroio do Tigre",2018,127
430120,"Arroio do Tigre",2019,117
430130,"Arroio Grande",2010,207
430130,"Arroio Grande",2011,205
430130,"Arroio Grande",2012,206
430130,"Arroio Grande",2013,211
430130,"Arroio Grande",2014,201
430130,"Arroio Grande",2015,232
430130,"Arroio Grande",2016,219
430130,"Arroio Grande",2017,220
430130,"Arroio Grande",2018,227
430130,"Arroio Grande",2019,188
430140,"Arvorezinha",2010,121
430140,"Arvorezinha",2011,120
430140,"Arvorezinha",2012,102
430140,"Arvorezinha",2013,90
430140,"Arvorezinha",2014,110
430140,"Arvorezinha",2015,112
430140,"Arvorezinha",2016,117
430140,"Arvorezinha",2017,114
430140,"Arvorezinha",2018,120
430140,"Arvorezinha",2019,109
430150,"Augusto Pestana",2010,64
430150,"Augusto Pestana",2011,50
430150,"Augusto Pestana",2012,46
430150,"Augusto Pestana",2013,77
430150,"Augusto Pestana",2014,62
430150,"Augusto Pestana",2015,76
430150,"Augusto Pestana",2016,71
430150,"Augusto Pestana",2017,76
430150,"Augusto Pestana",2018,90
430150,"Augusto Pestana",2019,76
430155,"Áurea",2010,23
430155,"Áurea",2011,33
430155,"Áurea",2012,30
430155,"Áurea",2013,30
430155,"Áurea",2014,34
430155,"Áurea",2015,28
430155,"Áurea",2016,25
430155,"Áurea",2017,23
430155,"Áurea",2018,33
430155,"Áurea",2019,31
430160,"Bagé",2010,1545
430160,"Bagé",2011,1606
430160,"Bagé",2012,1576
430160,"Bagé",2013,1584
430160,"Bagé",2014,1591
430160,"Bagé",2015,1615
430160,"Bagé",2016,1619
430160,"Bagé",2017,1644
430160,"Bagé",2018,1591
430160,"Bagé",2019,1665
430163,"Balneário Pinhal",2010,116
430163,"Balneário Pinhal",2011,118
430163,"Balneário Pinhal",2012,109
430163,"Balneário Pinhal",2013,152
430163,"Balneário Pinhal",2014,138
430163,"Balneário Pinhal",2015,146
430163,"Balneário Pinhal",2016,143
430163,"Balneário Pinhal",2017,153
430163,"Balneário Pinhal",2018,149
430163,"Balneário Pinhal",2019,149
430165,"Barão",2010,35
430165,"Barão",2011,32
430165,"Barão",2012,56
430165,"Barão",2013,42
430165,"Barão",2014,64
430165,"Barão",2015,63
430165,"Barão",2016,52
430165,"Barão",2017,51
430165,"Barão",2018,73
430165,"Barão",2019,57
430170,"Barão de Cotegipe",2010,59
430170,"Barão de Cotegipe",2011,53
430170,"Barão de Cotegipe",2012,69
430170,"Barão de Cotegipe",2013,60
430170,"Barão de Cotegipe",2014,67
430170,"Barão de Cotegipe",2015,73
430170,"Barão de Cotegipe",2016,104
430170,"Barão de Cotegipe",2017,62
430170,"Barão de Cotegipe",2018,71
430170,"Barão de Cotegipe",2019,76
430175,"Barão do Triunfo",2010,68
430175,"Barão do Triunfo",2011,64
430175,"Barão do Triunfo",2012,65
430175,"Barão do Triunfo",2013,57
430175,"Barão do Triunfo",2014,68
430175,"Barão do Triunfo",2015,50
430175,"Barão do Triunfo",2016,61
430175,"Barão do Triunfo",2017,73
430175,"Barão do Triunfo",2018,59
430175,"Barão do Triunfo",2019,38
430180,"Barracão",2010,59
430180,"Barracão",2011,56
430180,"Barracão",2012,45
430180,"Barracão",2013,49
430180,"Barracão",2014,42
430180,"Barracão",2015,65
430180,"Barracão",2016,39
430180,"Barracão",2017,46
430180,"Barracão",2018,48
430180,"Barracão",2019,63
430185,"Barra do Guarita",2010,33
430185,"Barra do Guarita",2011,36
430185,"Barra do Guarita",2012,45
430185,"Barra do Guarita",2013,42
430185,"Barra do Guarita",2014,37
430185,"Barra do Guarita",2015,48
430185,"Barra do Guarita",2016,44
430185,"Barra do Guarita",2017,52
430185,"Barra do Guarita",2018,42
430185,"Barra do Guarita",2019,47
430187,"Barra do Quaraí",2010,48
430187,"Barra do Quaraí",2011,32
430187,"Barra do Quaraí",2012,30
430187,"Barra do Quaraí",2013,40
430187,"Barra do Quaraí",2014,38
430187,"Barra do Quaraí",2015,34
430187,"Barra do Quaraí",2016,48
430187,"Barra do Quaraí",2017,53
430187,"Barra do Quaraí",2018,53
430187,"Barra do Quaraí",2019,40
430190,"Barra do Ribeiro",2010,130
430190,"Barra do Ribeiro",2011,135
430190,"Barra do Ribeiro",2012,128
430190,"Barra do Ribeiro",2013,151
430190,"Barra do Ribeiro",2014,121
430190,"Barra do Ribeiro",2015,162
430190,"Barra do Ribeiro",2016,160
430190,"Barra do Ribeiro",2017,163
430190,"Barra do Ribeiro",2018,152
430190,"Barra do Ribeiro",2019,151
430192,"Barra do Rio Azul",2010,11
430192,"Barra do Rio Azul",2011,14
430192,"Barra do Rio Azul",2012,15
430192,"Barra do Rio Azul",2013,12
430192,"Barra do Rio Azul",2014,10
430192,"Barra do Rio Azul",2015,11
430192,"Barra do Rio Azul",2016,6
430192,"Barra do Rio Azul",2017,13
430192,"Barra do Rio Azul",2018,12
430192,"Barra do Rio Azul",2019,9
430195,"Barra Funda",2010,25
430195,"Barra Funda",2011,27
430195,"Barra Funda",2012,33
430195,"Barra Funda",2013,20
430195,"Barra Funda",2014,36
430195,"Barra Funda",2015,30
430195,"Barra Funda",2016,34
430195,"Barra Funda",2017,36
430195,"Barra Funda",2018,36
430195,"Barra Funda",2019,34
430200,"Barros Cassal",2010,125
430200,"Barros Cassal",2011,110
430200,"Barros Cassal",2012,123
430200,"Barros Cassal",2013,119
430200,"Barros Cassal",2014,109
430200,"Barros Cassal",2015,130
430200,"Barros Cassal",2016,99
430200,"Barros Cassal",2017,104
430200,"Barros Cassal",2018,115
430200,"Barros Cassal",2019,98
430205,"Benjamin Constant do Sul",2010,28
430205,"Benjamin Constant do Sul",2011,31
430205,"Benjamin Constant do Sul",2012,24
430205,"Benjamin Constant do Sul",2013,34
430205,"Benjamin Constant do Sul",2014,37
430205,"Benjamin Constant do Sul",2015,35
430205,"Benjamin Constant do Sul",2016,40
430205,"Benjamin Constant do Sul",2017,40
430205,"Benjamin Constant do Sul",2018,28
430205,"Benjamin Constant do Sul",2019,27
430210,"Bento Gonçalves",2010,1252
430210,"Bento Gonçalves",2011,1268
430210,"Bento Gonçalves",2012,1406
430210,"Bento Gonçalves",2013,1469
430210,"Bento Gonçalves",2014,1614
430210,"Bento Gonçalves",2015,1700
430210,"Bento Gonçalves",2016,1483
430210,"Bento Gonçalves",2017,1541
430210,"Bento Gonçalves",2018,1528
430210,"Bento Gonçalves",2019,1557
430215,"Boa Vista das Missões",2010,31
430215,"Boa Vista das Missões",2011,17
430215,"Boa Vista das Missões",2012,24
430215,"Boa Vista das Missões",2013,17
430215,"Boa Vista das Missões",2014,24
430215,"Boa Vista das Missões",2015,34
430215,"Boa Vista das Missões",2016,24
430215,"Boa Vista das Missões",2017,20
430215,"Boa Vista das Missões",2018,23
430215,"Boa Vista das Missões",2019,30
430220,"Boa Vista do Buricá",2010,55
430220,"Boa Vista do Buricá",2011,63
430220,"Boa Vista do Buricá",2012,64
430220,"Boa Vista do Buricá",2013,58
430220,"Boa Vista do Buricá",2014,70
430220,"Boa Vista do Buricá",2015,73
430220,"Boa Vista do Buricá",2016,65
430220,"Boa Vista do Buricá",2017,87
430220,"Boa Vista do Buricá",2018,90
430220,"Boa Vista do Buricá",2019,79
430222,"Boa Vista do Cadeado",2010,17
430222,"Boa Vista do Cadeado",2011,21
430222,"Boa Vista do Cadeado",2012,7
430222,"Boa Vista do Cadeado",2013,33
430222,"Boa Vista do Cadeado",2014,23
430222,"Boa Vista do Cadeado",2015,13
430222,"Boa Vista do Cadeado",2016,21
430222,"Boa Vista do Cadeado",2017,24
430222,"Boa Vista do Cadeado",2018,25
430222,"Boa Vista do Cadeado",2019,21
430223,"Boa Vista do Incra",2010,36
430223,"Boa Vista do Incra",2011,33
430223,"Boa Vista do Incra",2012,35
430223,"Boa Vista do Incra",2013,39
430223,"Boa Vista do Incra",2014,26
430223,"Boa Vista do Incra",2015,30
430223,"Boa Vista do Incra",2016,16
430223,"Boa Vista do Incra",2017,46
430223,"Boa Vista do Incra",2018,34
430223,"Boa Vista do Incra",2019,35
430225,"Boa Vista do Sul",2010,10
430225,"Boa Vista do Sul",2011,28
430225,"Boa Vista do Sul",2012,17
430225,"Boa Vista do Sul",2013,16
430225,"Boa Vista do Sul",2014,26
430225,"Boa Vista do Sul",2015,20
430225,"Boa Vista do Sul",2016,21
430225,"Boa Vista do Sul",2017,14
430225,"Boa Vista do Sul",2018,21
430225,"Boa Vista do Sul",2019,26
430230,"Bom Jesus",2010,166
430230,"Bom Jesus",2011,157
430230,"Bom Jesus",2012,159
430230,"Bom Jesus",2013,144
430230,"Bom Jesus",2014,133
430230,"Bom Jesus",2015,154
430230,"Bom Jesus",2016,160
430230,"Bom Jesus",2017,165
430230,"Bom Jesus",2018,170
430230,"Bom Jesus",2019,160
430235,"Bom Princípio",2010,115
430235,"Bom Princípio",2011,159
430235,"Bom Princípio",2012,159
430235,"Bom Princípio",2013,122
430235,"Bom Princípio",2014,164
430235,"Bom Princípio",2015,184
430235,"Bom Princípio",2016,166
430235,"Bom Princípio",2017,169
430235,"Bom Princípio",2018,158
430235,"Bom Princípio",2019,192
430237,"Bom Progresso",2010,18
430237,"Bom Progresso",2011,34
430237,"Bom Progresso",2012,25
430237,"Bom Progresso",2013,33
430237,"Bom Progresso",2014,34
430237,"Bom Progresso",2015,25
430237,"Bom Progresso",2016,23
430237,"Bom Progresso",2017,39
430237,"Bom Progresso",2018,18
430237,"Bom Progresso",2019,33
430240,"Bom Retiro do Sul",2010,139
430240,"Bom Retiro do Sul",2011,165
430240,"Bom Retiro do Sul",2012,150
430240,"Bom Retiro do Sul",2013,150
430240,"Bom Retiro do Sul",2014,137
430240,"Bom Retiro do Sul",2015,165
430240,"Bom Retiro do Sul",2016,147
430240,"Bom Retiro do Sul",2017,149
430240,"Bom Retiro do Sul",2018,154
430240,"Bom Retiro do Sul",2019,159
430245,"Boqueirão do Leão",2010,106
430245,"Boqueirão do Leão",2011,97
430245,"Boqueirão do Leão",2012,83
430245,"Boqueirão do Leão",2013,104
430245,"Boqueirão do Leão",2014,84
430245,"Boqueirão do Leão",2015,100
430245,"Boqueirão do Leão",2016,76
430245,"Boqueirão do Leão",2017,64
430245,"Boqueirão do Leão",2018,80
430245,"Boqueirão do Leão",2019,104
430250,"Bossoroca",2010,66
430250,"Bossoroca",2011,75
430250,"Bossoroca",2012,61
430250,"Bossoroca",2013,51
430250,"Bossoroca",2014,50
430250,"Bossoroca",2015,57
430250,"Bossoroca",2016,61
430250,"Bossoroca",2017,54
430250,"Bossoroca",2018,63
430250,"Bossoroca",2019,63
430258,"Bozano",2010,15
430258,"Bozano",2011,21
430258,"Bozano",2012,10
430258,"Bozano",2013,20
430258,"Bozano",2014,17
430258,"Bozano",2015,17
430258,"Bozano",2016,27
430258,"Bozano",2017,22
430258,"Bozano",2018,18
430258,"Bozano",2019,25
430260,"Braga",2010,51
430260,"Braga",2011,45
430260,"Braga",2012,27
430260,"Braga",2013,45
430260,"Braga",2014,34
430260,"Braga",2015,42
430260,"Braga",2016,34
430260,"Braga",2017,46
430260,"Braga",2018,43
430260,"Braga",2019,40
430265,"Brochier",2010,43
430265,"Brochier",2011,25
430265,"Brochier",2012,33
430265,"Brochier",2013,32
430265,"Brochier",2014,45
430265,"Brochier",2015,32
430265,"Brochier",2016,41
430265,"Brochier",2017,50
430265,"Brochier",2018,42
430265,"Brochier",2019,46
430270,"Butiá",2010,251
430270,"Butiá",2011,237
430270,"Butiá",2012,220
430270,"Butiá",2013,237
430270,"Butiá",2014,313
430270,"Butiá",2015,274
430270,"Butiá",2016,269
430270,"Butiá",2017,243
430270,"Butiá",2018,265
430270,"Butiá",2019,231
430280,"Caçapava do Sul",2010,374
430280,"Caçapava do Sul",2011,343
430280,"Caçapava do Sul",2012,352
430280,"Caçapava do Sul",2013,424
430280,"Caçapava do Sul",2014,398
430280,"Caçapava do Sul",2015,390
430280,"Caçapava do Sul",2016,382
430280,"Caçapava do Sul",2017,366
430280,"Caçapava do Sul",2018,417
430280,"Caçapava do Sul",2019,394
430290,"Cacequi",2010,124
430290,"Cacequi",2011,151
430290,"Cacequi",2012,127
430290,"Cacequi",2013,130
430290,"Cacequi",2014,104
430290,"Cacequi",2015,136
430290,"Cacequi",2016,117
430290,"Cacequi",2017,98
430290,"Cacequi",2018,95
430290,"Cacequi",2019,118
430300,"Cachoeira do Sul",2010,1011
430300,"Cachoeira do Sul",2011,1035
430300,"Cachoeira do Sul",2012,999
430300,"Cachoeira do Sul",2013,976
430300,"Cachoeira do Sul",2014,975
430300,"Cachoeira do Sul",2015,1076
430300,"Cachoeira do Sul",2016,989
430300,"Cachoeira do Sul",2017,997
430300,"Cachoeira do Sul",2018,968
430300,"Cachoeira do Sul",2019,984
430310,"Cachoeirinha",2010,1673
430310,"Cachoeirinha",2011,1740
430310,"Cachoeirinha",2012,1928
430310,"Cachoeirinha",2013,1932
430310,"Cachoeirinha",2014,2106
430310,"Cachoeirinha",2015,2010
430310,"Cachoeirinha",2016,1933
430310,"Cachoeirinha",2017,1894
430310,"Cachoeirinha",2018,1778
430310,"Cachoeirinha",2019,1673
430320,"Cacique Doble",2010,55
430320,"Cacique Doble",2011,55
430320,"Cacique Doble",2012,59
430320,"Cacique Doble",2013,60
430320,"Cacique Doble",2014,67
430320,"Cacique Doble",2015,61
430320,"Cacique Doble",2016,46
430320,"Cacique Doble",2017,47
430320,"Cacique Doble",2018,55
430320,"Cacique Doble",2019,52
430330,"Caibaté",2010,47
430330,"Caibaté",2011,69
430330,"Caibaté",2012,44
430330,"Caibaté",2013,76
430330,"Caibaté",2014,56
430330,"Caibaté",2015,46
430330,"Caibaté",2016,46
430330,"Caibaté",2017,67
430330,"Caibaté",2018,46
430330,"Caibaté",2019,53
430340,"Caiçara",2010,56
430340,"Caiçara",2011,36
430340,"Caiçara",2012,50
430340,"Caiçara",2013,38
430340,"Caiçara",2014,29
430340,"Caiçara",2015,43
430340,"Caiçara",2016,24
430340,"Caiçara",2017,54
430340,"Caiçara",2018,47
430340,"Caiçara",2019,43
430350,"Camaquã",2010,727
430350,"Camaquã",2011,794
430350,"Camaquã",2012,783
430350,"Camaquã",2013,794
430350,"Camaquã",2014,862
430350,"Camaquã",2015,928
430350,"Camaquã",2016,821
430350,"Camaquã",2017,786
430350,"Camaquã",2018,857
430350,"Camaquã",2019,855
430355,"Camargo",2010,17
430355,"Camargo",2011,13
430355,"Camargo",2012,21
430355,"Camargo",2013,32
430355,"Camargo",2014,23
430355,"Camargo",2015,27
430355,"Camargo",2016,26
430355,"Camargo",2017,35
430355,"Camargo",2018,39
430355,"Camargo",2019,47
430360,"Cambará do Sul",2010,71
430360,"Cambará do Sul",2011,38
430360,"Cambará do Sul",2012,61
430360,"Cambará do Sul",2013,69
430360,"Cambará do Sul",2014,66
430360,"Cambará do Sul",2015,76
430360,"Cambará do Sul",2016,64
430360,"Cambará do Sul",2017,45
430360,"Cambará do Sul",2018,71
430360,"Cambará do Sul",2019,73
430367,"Campestre da Serra",2010,15
430367,"Campestre da Serra",2011,16
430367,"Campestre da Serra",2012,30
430367,"Campestre da Serra",2013,33
430367,"Campestre da Serra",2014,24
430367,"Campestre da Serra",2015,27
430367,"Campestre da Serra",2016,22
430367,"Campestre da Serra",2017,25
430367,"Campestre da Serra",2018,31
430367,"Campestre da Serra",2019,22
430370,"Campina das Missões",2010,27
430370,"Campina das Missões",2011,52
430370,"Campina das Missões",2012,52
430370,"Campina das Missões",2013,68
430370,"Campina das Missões",2014,47
430370,"Campina das Missões",2015,59
430370,"Campina das Missões",2016,58
430370,"Campina das Missões",2017,49
430370,"Campina das Missões",2018,55
430370,"Campina das Missões",2019,45
430380,"Campinas do Sul",2010,48
430380,"Campinas do Sul",2011,45
430380,"Campinas do Sul",2012,58
430380,"Campinas do Sul",2013,51
430380,"Campinas do Sul",2014,43
430380,"Campinas do Sul",2015,64
430380,"Campinas do Sul",2016,54
430380,"Campinas do Sul",2017,53
430380,"Campinas do Sul",2018,58
430380,"Campinas do Sul",2019,58
430390,"Campo Bom",2010,792
430390,"Campo Bom",2011,782
430390,"Campo Bom",2012,855
430390,"Campo Bom",2013,811
430390,"Campo Bom",2014,845
430390,"Campo Bom",2015,913
430390,"Campo Bom",2016,851
430390,"Campo Bom",2017,904
430390,"Campo Bom",2018,879
430390,"Campo Bom",2019,782
430400,"Campo Novo",2010,79
430400,"Campo Novo",2011,58
430400,"Campo Novo",2012,67
430400,"Campo Novo",2013,69
430400,"Campo Novo",2014,88
430400,"Campo Novo",2015,67
430400,"Campo Novo",2016,78
430400,"Campo Novo",2017,85
430400,"Campo Novo",2018,74
430400,"Campo Novo",2019,65
430410,"Campos Borges",2010,27
430410,"Campos Borges",2011,31
430410,"Campos Borges",2012,41
430410,"Campos Borges",2013,36
430410,"Campos Borges",2014,32
430410,"Campos Borges",2015,50
430410,"Campos Borges",2016,39
430410,"Campos Borges",2017,57
430410,"Campos Borges",2018,43
430410,"Campos Borges",2019,28
430420,"Candelária",2010,337
430420,"Candelária",2011,348
430420,"Candelária",2012,333
430420,"Candelária",2013,339
430420,"Candelária",2014,318
430420,"Candelária",2015,348
430420,"Candelária",2016,366
430420,"Candelária",2017,322
430420,"Candelária",2018,343
430420,"Candelária",2019,332
430430,"Cândido Godói",2010,56
430430,"Cândido Godói",2011,57
430430,"Cândido Godói",2012,47
430430,"Cândido Godói",2013,56
430430,"Cândido Godói",2014,59
430430,"Cândido Godói",2015,79
430430,"Cândido Godói",2016,47
430430,"Cândido Godói",2017,62
430430,"Cândido Godói",2018,63
430430,"Cândido Godói",2019,68
430435,"Candiota",2010,127
430435,"Candiota",2011,119
430435,"Candiota",2012,134
430435,"Candiota",2013,128
430435,"Candiota",2014,133
430435,"Candiota",2015,131
430435,"Candiota",2016,130
430435,"Candiota",2017,137
430435,"Candiota",2018,149
430435,"Candiota",2019,122
430440,"Canela",2010,550
430440,"Canela",2011,596
430440,"Canela",2012,615
430440,"Canela",2013,639
430440,"Canela",2014,676
430440,"Canela",2015,664
430440,"Canela",2016,622
430440,"Canela",2017,648
430440,"Canela",2018,696
430440,"Canela",2019,714
430450,"Canguçu",2010,553
430450,"Canguçu",2011,573
430450,"Canguçu",2012,573
430450,"Canguçu",2013,558
430450,"Canguçu",2014,574
430450,"Canguçu",2015,553
430450,"Canguçu",2016,522
430450,"Canguçu",2017,585
430450,"Canguçu",2018,553
430450,"Canguçu",2019,526
430460,"Canoas",2010,4812
430460,"Canoas",2011,4911
430460,"Canoas",2012,5176
430460,"Canoas",2013,5335
430460,"Canoas",2014,5328
430460,"Canoas",2015,5475
430460,"Canoas",2016,5205
430460,"Canoas",2017,4991
430460,"Canoas",2018,4919
430460,"Canoas",2019,4826
430461,"Canudos do Vale",2010,18
430461,"Canudos do Vale",2011,15
430461,"Canudos do Vale",2012,16
430461,"Canudos do Vale",2013,24
430461,"Canudos do Vale",2014,12
430461,"Canudos do Vale",2015,16
430461,"Canudos do Vale",2016,4
430461,"Canudos do Vale",2017,11
430461,"Canudos do Vale",2018,16
430461,"Canudos do Vale",2019,12
430462,"Capão Bonito do Sul",2010,3
430462,"Capão Bonito do Sul",2011,14
430462,"Capão Bonito do Sul",2012,19
430462,"Capão Bonito do Sul",2013,17
430462,"Capão Bonito do Sul",2014,23
